Odcień korony;;
K_ID;Kolor;Intensywność
B1;rudawo-żółty;1
A1;rudawo-brązowy;1
B2;rudawo-żółty;2
D2;rudawo-szary;2
A2;rudawo-brązowy;2
C1;szary;1
C2;szary;2
D4;rudawo-szary;4
A3;rudawo-brązowy;3
D3;rudawo-szary;3
B3;rudawo-żółty;3
B4;rudawo-żółty;4
C3;szary;3
A4;rudawo-brązowy;4
C4;szary;4
