Materiały;
M_ID;Materiał
MEp;porcelana na podbudowie metalowej
CEp;porcelana na podbudowie ceramicznej
AUp;porcelana na podbudowie złota
CE98;cyrkon
ME8;metal
AK20;akryl
TYT;stop tytanu Ti6AI4V
CER;ceramika implant
PMM;poli(metakrylan metylu) - szkło organiczne
